,Player_Id,Runs,Over_count,Econ_Rate,cluster,Player_Name,Bowling_Skill,DOB,Country
0,63,458.0,54.333333333333336,8.43,0,LR Shukla,Right-arm medium,06-May-81,India
1,1,367.0,46.666666666666664,7.86,0,SC Ganguly,Right-arm medium,08-Jul-72,India
2,68,98.0,12.5,7.84,0,WA Mota,Right-arm medium,20-Sep-81,India
3,24,94.0,11.166666666666666,8.42,0,K Goel,Right-arm offbreak,24-Dec-86,India
4,118,366.0,54.833333333333336,6.67,0,GD McGrath,Right-arm fast-medium,09-Feb-70,Australia
5,49,307.0,46.666666666666664,6.58,0,SM Pollock,Right-arm fast-medium,16-Jul-73,South Africa
6,48,323.0,39.833333333333336,8.11,0,AM Nayar,Right-arm medium,08-Oct-83,India
7,90,532.0,73.5,7.24,0,MF Maharoof,Right-arm fast-medium,07-Sep-84,India
8,12,246.0,32.166666666666664,7.65,0,B Akhil,Right-arm medium-fast,07-Oct-77,India
9,44,396.0,50.166666666666664,7.89,0,ST Jayasuriya,Slow left-arm orthodox,30-Jun-69,Sri Lanka
10,149,306.0,41.5,7.37,0,CRD Fernando,Right-arm fast-medium,19-Jul-79,Sri Lanka
11,102,275.0,44.166666666666664,6.23,0,Sohail Tanvir,Left-arm medium-fast,12-Dec-84,Pakistan
12,58,278.0,37.0,7.51,0,SB Styris,Right-arm medium,10-Jul-75,New Zealand
13,91,504.0,59.833333333333336,8.42,0,VY Mahesh,Right-arm medium-fast,21-Dec-87,India
14,60,364.0,48.0,7.58,0,WPUJC Vaas,Left-arm fast-medium,27-Jan-74,Sri Lanka
15,5,71.0,10.5,6.76,0,Mohammad Hafeez,Right-arm offbreak,17-Oct-80,Pakistan
16,8,371.0,44.0,8.43,0,V Kohli,Right-arm medium,05-Nov-88,India
17,105,198.0,25.5,7.76,0,Umar Gul,Right-arm fast-medium,14-Apr-84,Pakistan
18,122,257.0,35.5,7.24,0,M Ntini,Right-arm fast,06-Jul-77,South Africa
19,143,204.0,26.333333333333332,7.75,0,DP Vijaykumar,Right-arm medium,20-Oct-86,India
20,45,40.0,7.333333333333333,5.45,0,DJ Thornely,Right-arm medium,01-Oct-78,Australia
21,142,42.0,5.166666666666667,8.13,0,PM Sarvesh Kumar,Right-arm medium,26-Apr-89,India
22,144,54.0,7.666666666666667,7.04,0,Shoaib Akhtar,Right-arm fast,13-Aug-75,Pakistan
23,137,359.0,51.666666666666664,6.95,0,AD Mascarenhas,Right-arm fast-medium,30-Oct-77,England
24,153,538.0,73.83333333333333,7.29,0,RR Powar,Right-arm offbreak,20-May-78,India
25,70,237.0,30.833333333333332,7.69,0,Shahid Afridi,Legbreak googly,01-Mar-80,Pakistan
26,241,101.0,15.0,6.73,0,PD Collingwood,Right-arm medium,26-May-76,England
27,273,147.0,18.0,8.17,0,SB Wagh,Left-arm medium-fast,09-Oct-88,India
28,298,79.0,9.5,8.32,0,ND Doshi,Slow left-arm orthodox,06-Oct-78,India
29,278,223.0,30.0,7.43,0,S Randiv,Right-arm offbreak,30-Jan-85,Sri Lanka
30,266,144.0,18.833333333333332,7.65,0,AL Menaria,Slow left-arm orthodox,29-Oct-90,India
31,274,406.0,54.5,7.45,0,AC Thomas,Right-arm fast-medium,09-Feb-77,England
32,193,58.0,8.333333333333334,6.96,0,C Nanda,Legbreak,29-Mar-79,India
33,441,34.0,4.166666666666667,8.16,0,SS Sarkar,Right-arm medium,15-Dec-84,India
34,85,5.0,1.0,5.0,0,AM Rahane,Right-arm medium,06-Jun-88,India
35,198,260.0,31.333333333333332,8.3,0,AB McDonald,Right-arm fast-medium,05-Jun-81,Australia
36,242,199.0,27.5,7.24,0,CK Langeveldt,Right-arm fast-medium,17-Dec-74,England
37,217,58.0,7.833333333333333,7.4,0,JM Kemp,Right-arm fast-medium,02-Oct-77,South Africa
38,219,8.0,1.0,8.0,0,RS Gavaskar,Slow left-arm orthodox,20-Feb-76,India
39,286,322.0,44.833333333333336,7.18,0,AG Murtaza,Slow left-arm orthodox,01-Jan-90,India
40,220,225.0,31.833333333333332,7.07,0,SE Bond,Right-arm fast,07-Jun-75,New Zealand
41,228,441.0,56.0,7.88,0,Bipul Sharma,Slow left-arm orthodox,28-Sep-83,India
42,218,304.0,36.666666666666664,8.29,0,S Tyagi,Right-arm medium,17-Sep-87,India
43,180,28.0,4.0,7.0,0,GR Napier,Right-arm medium,06-Jan-80,England
44,184,74.0,11.166666666666666,6.63,0,SM Harwood,Right-arm fast-medium,01-Mar-74,Australia
45,178,198.0,25.333333333333332,7.82,0,TL Suman,Right-arm offbreak,15-Dec-83,India
46,189,56.0,7.166666666666667,7.81,0,D du Preez,Right-arm fast-medium,08-Nov-81,South Africa
47,182,6.0,1.1666666666666667,5.14,0,LA Carseldine,Left-arm medium,17-Nov-75,Australia
48,158,214.0,30.0,7.13,0,KP Pietersen,Right-arm offbreak,27-Jun-80,South Africa
49,161,301.0,35.5,8.48,0,RS Bopara,Right-arm medium,04-May-85,England
50,181,284.0,37.0,7.68,0,KP Appanna,Slow left-arm orthodox,20-Dec-88,India
51,104,309.0,39.666666666666664,7.79,0,BJ Hodge,Right-arm offbreak,29-Dec-74,Australia
52,177,515.0,75.83333333333333,6.79,0,RE van der Merwe,Slow left-arm orthodox,31-Dec-84,South Africa
53,165,160.0,25.0,6.4,0,FH Edwards,Right-arm fast,06-Feb-82,West Indies
54,215,311.0,37.0,8.41,0,YA Abdulla,Left-arm fast-medium,17-Jan-83,India
55,243,268.0,35.333333333333336,7.58,0,VS Malik,Right-arm medium,09-May-83,India
56,439,205.0,26.0,7.88,0,AM Salvi,Right-arm medium,20-Oct-81,India
57,157,308.0,40.166666666666664,7.67,0,JD Ryder,Right-arm medium,06-Aug-84,New Zealand
58,159,41.0,6.0,6.83,0,T Henderson,Right-arm fast-medium,01-Aug-74,South Africa
59,160,248.0,29.5,8.41,0,Kamran Khan,Left-arm medium-fast,10-Mar-91,India
60,156,164.0,24.0,6.83,0,T Thushara,Left-arm fast-medium,01-Mar-81,Sri Lanka
61,174,306.0,41.333333333333336,7.4,0,BAW Mendis,Right-arm offbreak,11-Mar-85,Sri Lanka
62,57,449.0,57.0,7.88,0,RG Sharma,Right-arm offbreak,30-Apr-87,India
63,135,365.0,45.833333333333336,7.96,0,TM Dilshan,Right-arm offbreak,14-Oct-76,Sri Lanka
64,259,130.0,16.166666666666668,8.04,0,RV Gomez,Right-arm medium,16-Oct-85,India
65,253,414.0,54.5,7.6,0,MR Marsh,Right-arm medium,20-Oct-91,Australia
66,233,308.0,39.166666666666664,7.86,0,J Theron,Right-arm medium-fast,24-Jul-85,South Africa
67,230,76.0,9.333333333333334,8.14,0,AC Voges,Slow left-arm orthodox,04-Oct-79,Australia
68,452,136.0,18.666666666666668,7.29,0,S Badree,Legbreak,09-Mar-81,West Indies
69,394,228.0,29.5,7.73,0,DJ Hooda,Right-arm offbreak,19-Apr-95,India
70,404,108.0,14.0,7.71,0,DJ Muthuswami,Right-arm medium,09-Mar-81,India
71,458,278.0,34.5,8.06,0,TA Boult,Left-arm fast-medium,22-Jul-89,New Zealand
72,388,155.0,19.333333333333332,8.02,0,S Gopal,Legbreak,04-Sep-93,India
73,457,66.0,10.166666666666666,6.49,0,JW Hastings,Right-arm fast-medium,04-Nov-85,Australia
74,418,245.0,29.333333333333332,8.35,0,M Ashwin,Legbreak googly,08-Sep-90,India
75,411,15.0,2.0,7.5,0,C Munro,Right-arm medium-fast,11-Mar-87,New Zealand
76,462,102.0,12.333333333333334,8.27,0,Kuldeep Yadav,Slow left-arm chinaman,14-Dec-94,India
77,460,427.0,62.666666666666664,6.81,0,Mustafizur Rahman,Left-arm fast-medium,06-Sep-95,Bangladesh
78,413,238.0,32.333333333333336,7.36,0,KH Pandya,Slow left-arm orthodox,24-Mar-91,India
79,432,195.0,23.666666666666668,8.24,0,S Kaushik,Slow left-arm chinaman,07-Sep-95,India
80,465,42.0,5.5,7.64,0,DL Chahar,Right-arm medium,07-Aug-92,India
81,464,56.0,7.166666666666667,7.81,0,SM Boland,Right-arm fast-medium,11-Apr-89,Australia
82,430,117.0,17.166666666666668,6.82,0,A Zampa,Legbreak googly,31-Mar-92,Australia
83,369,8.0,1.6666666666666667,4.8,0,Sachin Baby,Right-arm offbreak,18-Dec-88,India
84,396,7.0,1.0,7.0,0,KS Williamson,Right-arm offbreak,08-Aug-90,New Zealand
85,401,409.0,48.166666666666664,8.49,0,D Wiese,Right-arm medium-fast,18-May-85,South Africa
86,329,97.0,13.666666666666666,7.1,0,Gurkeerat Singh,Right-arm offbreak,29-Jun-90,India
87,425,154.0,24.333333333333332,6.33,0,J Yadav,Right-arm offbreak,22-Jan-90,India
88,408,192.0,23.833333333333332,8.06,0,CR Brathwaite,Right-arm fast-medium,18-Jul-88,West Indies
89,429,456.0,55.333333333333336,8.24,0,BB Sran,Left-arm medium,10-Dec-92,India
90,366,273.0,33.333333333333336,8.19,0,Parvez Rasool,Right-arm offbreak,13-Feb-89,India
91,391,313.0,38.0,8.24,0,JO Holder,Right-arm medium-fast,05-Nov-91,West Indies
92,352,208.0,32.5,6.4,0,SMSM Senanayake,Right-arm offbreak,09-Feb-85,Sri Lanka
93,371,507.0,68.0,7.46,0,NM Coulter-Nile,Right-arm fast,11-Oct-87,Australia
94,385,111.0,15.333333333333334,7.24,0,BCJ Cutting,Right-arm fast-medium,30-Jan-87,Australia
95,386,632.0,74.66666666666667,8.46,0,Imran Tahir,Legbreak googly,27-Mar-79,India
96,335,242.0,39.0,6.21,0,A Chandila,Right-arm offbreak,05-Dec-83,India
97,322,598.0,73.16666666666667,8.17,0,P Negi,Slow left-arm orthodox,06-Jan-93,India
98,328,67.0,11.0,6.09,0,MJ Clarke,Slow left-arm orthodox,02-Apr-81,Australia
99,451,477.0,65.0,7.34,0,BW Hilfenhaus,Right-arm fast-medium,15-Mar-83,Australia
100,448,6.0,1.1666666666666667,5.14,0,SS Mundhe,Right-arm medium,27-Oct-88,India
101,348,36.0,5.0,7.2,0,BMAJ Mendis,Legbreak,15-Jan-83,Sri Lanka
102,340,38.0,6.166666666666667,6.16,0,GH Vihari,Right-arm offbreak,13-Oct-93,India
103,344,135.0,16.166666666666668,8.35,0,AS Rajpoot,Right-arm medium,04-Dec-93,India
104,349,315.0,46.333333333333336,6.8,0,R Rampaul,Right-arm fast-medium,15-Oct-84,West Indies
105,185,49.0,6.166666666666667,7.95,0,M Vijay,Right-arm offbreak,01-Apr-84,India
106,308,8.0,1.0,8.0,0,SA Yadav,Right-arm offbreak,14-Sep-90,India
107,390,90.0,12.166666666666666,7.4,0,R Tewatia,Legbreak,20-May-93,India
108,363,450.0,54.333333333333336,8.28,0,KW Richardson,Right-arm fast-medium,12-Feb-91,Australia
109,314,422.0,60.5,6.98,0,Ankit Sharma,Slow left-arm orthodox,20-Apr-91,India
110,312,31.0,4.166666666666667,7.44,0,DAJ Bracewell,Right-arm fast-medium,28-Sep-90,New Zealand
111,326,289.0,35.166666666666664,8.22,0,V Pratap Singh,Right-arm medium,03-May-92,India
112,446,196.0,27.0,7.26,0,Anand Rajan,Right-arm medium,17-Apr-87,India
113,300,7.0,1.0,7.0,0,Y Gnaneswara Rao,Right-arm medium,25-Aug-84,India
114,297,323.0,42.5,7.6,0,AA Chavan,Slow left-arm orthodox,28-Oct-85,India
115,301,18.0,2.6666666666666665,6.75,0,S Rana,Right-arm medium-fast,18-Sep-84,India
116,302,400.0,50.5,7.92,0,BA Bhatt,Slow left-arm orthodox,13-May-90,India
117,307,244.0,33.5,7.28,0,MN Samuels,Right-arm offbreak,05-Feb-81,West Indies
118,324,116.0,17.833333333333332,6.5,0,KMDN Kulasekara,Right-arm fast-medium,22-Jul-82,Sri Lanka
119,294,222.0,26.5,8.38,0,P Parameswaran,Left-arm medium,30-May-85,India
120,167,207.0,25.5,8.12,0,PC Valthaty,Right-arm medium,07-Dec-83,India
121,42,66.0,8.166666666666666,8.08,0,S Dhawan,Right-arm offbreak,05-Dec-85,India
122,281,35.0,5.0,7.0,0,NL McCullum,Right-arm offbreak,01-Sep-80,New Zealand
123,282,167.0,20.333333333333332,8.21,0,JE Taylor,Right-arm fast,22-Jun-84,New Zealand
124,265,20.0,3.0,6.67,0,NJ Rimmington,Right-arm fast-medium,11-Nov-82,Australia
125,284,90.0,13.833333333333334,6.51,0,RN ten Doeschate,Right-arm medium-fast,30-Jun-80,Netherlands
126,171,42.0,7.0,6.0,0,M Manhas,Right-arm offbreak,12-Oct-79,India
127,126,1652.0,223.16666666666666,7.4,1,MM Patel,Right-arm medium-fast,12-Jul-83,India
128,61,2382.0,312.3333333333333,7.63,1,RP Singh,Left-arm fast-medium,06-Dec-85,India
129,35,2166.0,288.8333333333333,7.5,1,RA Jadeja,Slow left-arm orthodox,06-Dec-88,India
130,151,2055.0,262.3333333333333,7.83,1,L Balaji,Right-arm medium-fast,27-Sep-81,India
131,232,2335.0,288.1666666666667,8.1,1,UT Yadav,Right-arm fast-medium,25-Oct-87,India
132,190,2104.0,283.1666666666667,7.43,1,M Morkel,Right-arm fast,06-Oct-84,South Africa
133,221,1724.0,210.66666666666666,8.18,1,KA Pollard,Right-arm medium-fast,12-May-87,West Indies
134,106,1961.0,254.0,7.72,1,AB Dinda,Right-arm medium-fast,25-Mar-84,India
135,9,2316.0,299.8333333333333,7.72,1,JH Kallis,Right-arm fast-medium,16-Oct-75,South Africa
136,121,1743.0,263.5,6.61,1,M Muralitharan,Right-arm offbreak,17-Apr-72,Sri Lanka
137,32,2230.0,299.1666666666667,7.45,1,SR Watson,Right-arm fast-medium,17-Jun-81,Australia
138,38,1465.0,203.83333333333334,7.19,1,SK Warne,Legbreak googly,13-Sep-69,Australia
139,83,1397.0,197.0,7.09,1,M Kartik,Slow left-arm orthodox,11-Sep-76,India
140,109,2378.0,301.0,7.9,1,JA Morkel,Right-arm medium-fast,10-Jun-81,South Africa
141,39,1909.0,259.5,7.36,1,SK Trivedi,Right-arm medium,04-Sep-82,India
142,73,2321.0,307.0,7.56,1,A Nehra,Left-arm medium-fast,29-Apr-79,India
143,80,1736.0,227.66666666666666,7.63,1,DS Kulkarni,Right-arm medium,10-Dec-88,India
144,299,1989.0,288.3333333333333,6.9,1,B Kumar,Right-arm medium,05-Feb-90,India
145,84,2092.0,266.5,7.85,1,I Sharma,Right-arm fast-medium,02-Sep-88,India
146,89,1982.0,269.6666666666667,7.35,1,R Bhatia,Right-arm medium-fast,22-Oct-79,India
147,315,1656.0,265.6666666666667,6.23,1,SP Narine,Right-arm offbreak,26-May-88,West Indies
148,364,1674.0,214.83333333333334,7.79,1,MM Sharma,Right-arm medium,18-Sep-88,India
149,136,2941.0,411.0,7.16,2,A Mishra,Legbreak,24-Nov-82,India
150,50,3162.0,457.0,6.92,2,Harbhajan Singh,Right-arm offbreak,03-Jul-80,India
151,81,2917.0,356.8333333333333,8.17,2,R Vinay Kumar,Right-arm medium,12-Feb-84,India
152,14,3135.0,421.5,7.44,2,P Kumar,Right-arm medium,02-Oct-86,India
