,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
0,55.0,Right_Hand,,India,07-Oct-77,,,12,B Akhil,76.0,138.18,0
1,309.0,Right_Hand,,South Africa,03-Dec-76,,,11,MV Boucher,394.0,127.51,0
2,186.0,Left_Hand,,Australia,21-Aug-75,,,28,SM Katich,237.0,127.42,0
3,306.0,Right_Hand,,Australia,24-Oct-78,,,25,JR Hopes,417.0,136.27,0
4,111.0,Right_Hand,,South Africa,16-Jul-73,,,49,SM Pollock,147.0,132.43,0
5,292.0,Right_Hand,,India,10-Nov-87,,,65,S Sohal,368.0,126.03,0
6,24.0,Right_Hand,,India,12-Nov-82,,,37,D Salunkhe,33.0,137.5,0
7,109.0,Left_Hand,,India,03-Dec-81,,,108,S Vidyut,145.0,133.03,0
8,9.0,Left_Hand,,Sri Lanka,13-May-78,,,98,DNT Zoysa,11.0,122.22,0
9,339.0,Right_Hand,,India,29-Mar-84,,,101,SA Asnodkar,423.0,124.78,0
10,270.0,Right_Hand,,India,22-Oct-79,,,89,R Bhatia,326.0,120.74,0
11,123.0,Right_Hand,,India,07-Sep-84,,,90,MF Maharoof,177.0,143.9,0
12,3.0,Right_Hand,,India,17-Sep-84,,,78,VRV Singh,4.0,133.33,0
13,46.0,Right_Hand,,Pakistan,01-Mar-80,,,70,Shahid Afridi,81.0,176.09,0
14,90.0,Left_Hand,,South Africa,06-Oct-84,,,190,M Morkel,126.0,140.0,0
15,132.0,Right_Hand,,South Africa,20-Mar-79,,,176,MN van Wyk,167.0,126.52,0
16,26.0,Right_Hand,,Sri Lanka,14-Dec-79,,,111,LPC Silva,40.0,153.85,0
17,81.0,Right_Hand,,Pakistan,28-May-74,,,113,Misbah-ul-Haq,117.0,144.44,0
18,72.0,Right_Hand,,India,04-Jan-84,,,120,MS Gony,99.0,137.5,0
19,246.0,Left_Hand,,Australia,28-Sep-84,,,139,LA Pomersbach,302.0,122.76,0
20,3.0,Right_Hand,,Sri Lanka,19-Jul-79,,,149,CRD Fernando,4.0,133.33,0
21,29.0,Left_Hand,,Pakistan,12-Dec-84,,,102,Sohail Tanvir,36.0,124.14,0
22,19.0,Right_Hand,,Pakistan,14-Apr-84,,,105,Umar Gul,39.0,205.26,0
23,98.0,Right_Hand,,Australia,08-Nov-76,,,66,B Lee,124.0,126.53,0
24,78.0,Right_Hand,,Pakistan,13-Jan-82,,,69,Kamran Akmal,128.0,164.1,0
25,171.0,Right_Hand,,South Africa,30-Apr-87,,,350,CH Morris,285.0,166.67,0
26,86.0,Left_Hand,,India,18-Dec-88,,,369,Sachin Baby,122.0,141.86,0
27,278.0,Left_Hand,,New Zealand,13-Dec-90,,,372,CJ Anderson,379.0,136.33,0
28,61.0,Right_Hand,,England,07-Mar-85,,,358,LJ Wright,106.0,173.77,0
29,241.0,Right_Hand,,West Indies,20-Dec-83,,,362,DJG Sammy,295.0,122.41,0
30,32.0,Right_Hand,,New Zealand,11-Dec-88,,,377,TG Southee,47.0,146.88,0
31,3.0,Right_Hand,,India,09-Sep-93,,,381,Shivam Sharma,5.0,166.67,0
32,90.0,Left_Hand,,Australia,27-Jun-84,,,289,AC Blizzard,120.0,133.33,0
33,4.0,Right_Hand,,India,23-May-84,,,290,I Malhotra,7.0,175.0,0
34,68.0,Right_Hand,,West Indies,16-Feb-89,,,309,KK Cooper,116.0,170.59,0
35,378.0,Right_Hand,,India,14-Sep-90,,,308,SA Yadav,503.0,133.07,0
36,334.0,Right_Hand,,Australia,29-Apr-90,,,310,JP Faulkner,473.0,141.62,0
37,306.0,Right_Hand,,Pakistan,28-Feb-75,,,321,Azhar Mahmood,388.0,126.8,0
38,9.0,Right_Hand,,New Zealand,28-Sep-90,,,312,DAJ Bracewell,12.0,133.33,0
39,36.0,Right_Hand,,India,23-Nov-90,,,311,HV Patel,47.0,130.56,0
40,194.0,Right_Hand,,India,24-Feb-91,,,325,A Ashish Reddy,280.0,144.33,0
41,3.0,Right_Hand,,Sri Lanka,22-Jul-82,,,324,KMDN Kulasekara,5.0,166.67,0
42,31.0,Right_Hand,,India,18-Dec-86,,,264,Sunny Singh,43.0,138.71,0
43,58.0,Left_Hand,,Australia,09-Dec-81,,,285,TR Birt,75.0,129.31,0
44,140.0,Left_Hand,,India,22-Jun-83,,,277,DH Yagnik,170.0,121.43,0
45,235.0,Right_Hand,,Netherlands,30-Jun-80,,,284,RN ten Doeschate,326.0,138.72,0
46,313.0,Left_Hand,,Sri Lanka,03-Apr-89,,,280,NLTC Perera,423.0,135.14,0
47,11.0,Right_Hand,,Australia,23-Oct-77,,,279,BJ Haddin,18.0,163.64,0
48,22.0,Right_Hand,,India,09-Oct-87,,,245,AP Dole,34.0,154.55,0
49,26.0,Right_Hand,,India,05-Nov-88,,,246,AN Ahmed,36.0,138.46,0
50,2.0,Right_Hand,,India,18-Oct-80,,,247,RS Sodhi,4.0,200.0,0
51,12.0,Left_Hand,,India,07-Sep-92,,,256,Harmeet Singh,18.0,150.0,0
52,24.0,Right_Hand,,India,17-Jun-84,,,261,AUK Pathan,39.0,162.5,0
53,386.0,Left_Hand,,Bangladesh,24-Mar-87,,,276,Shakib Al Hasan,499.0,129.27,0
54,17.0,Left_Hand,,India,08-Apr-84,,,270,S Aravind,27.0,158.82,0
55,156.0,Right_Hand,,England,26-May-76,,,241,PD Collingwood,203.0,130.13,0
56,194.0,Left_Hand,,England,12-Feb-80,,,224,MJ Lumb,278.0,143.3,0
57,27.0,Left_Hand,,India,16-Apr-82,,,226,S Narwal,37.0,137.04,0
58,99.0,Left_Hand,,India,28-Sep-83,,,228,Bipul Sharma,156.0,157.58,0
59,143.0,Right_Hand,,Australia,04-Oct-79,,,230,AC Voges,181.0,126.57,0
60,26.0,Right_Hand,,India,25-Oct-89,,,244,A Mithun,34.0,130.77,0
61,250.0,Right_Hand,,India,07-Nov-87,,,207,AP Tare,321.0,128.4,0
62,101.0,Right_Hand,,Australia,05-Jun-81,,,198,AB McDonald,123.0,121.78,0
63,402.0,Right_Hand,,England,22-Oct-78,,,204,OA Shah,506.0,125.87,0
64,311.0,Left_Hand,,India,20-Jan-94,,,374,AR Patel,379.0,121.86,0
65,141.0,Left_Hand,,Australia,26-Mar-81,,,353,BJ Rohrer,193.0,136.88,0
66,276.0,Right_Hand,,India,29-Jun-90,,,329,Gurkeerat Singh,342.0,123.91,0
67,162.0,Left_Hand,,India,06-Jan-93,,,322,P Negi,209.0,129.01,0
68,9.0,Right_Hand,,India,18-Jun-86,,,332,K Upadhyay,12.0,133.33,0
69,184.0,Right_Hand,,England,08-Sep-90,,,407,JC Buttler,255.0,138.59,0
